ап1.1,before vertices,before bb size,before bb position,before posture,after vertices,after bb size,after bb position,after posture,ап1.10
155.off: Table,14384,2.55777,0.314525,0.99989,14384,1.34084,0.162471,1, 
156.off: Table,10100,2.30854,0.266684,0.841774,10100,1.21265,0.173169,1, 
157.off: Table,13883,2.85656,0.273144,0.992537,13883,1.47003,0.138835,1, 
158.off: Table,14587,2.11463,0.315922,0.550916,14587,1.62095,0.269662,1, 
159.off: Table,13930,2.11393,0.233983,0.999825,13930,1.41047,0.153091,1, 
160.off: Table,10082,1.94938,0.295419,0.999139,10082,1.28198,0.188133,1, 
161.off: Teddy,13826,2.24623,0.107457,0.999436,13826,1.34409,0.0678695,1, 
162.off: Teddy,10096,2.33205,0.147119,0.898646,10096,1.23014,0.0395393,1, 
163.off: Teddy,10879,2.37484,0.0870176,0.975881,10879,1.25294,0.0196987,1, 
164.off: Teddy,14509,2.2649,0.151071,0.995268,14509,1.32994,0.0652261,1, 
165.off: Teddy,10233,2.28497,0.0739726,0.915683,10233,1.21162,0.0248237,1, 
166.off: Teddy,11090,2.3976,0.0943007,0.965509,11090,1.29479,0.0483813,1, 
167.off: Teddy,12647,2.30969,0.129104,0.996812,12647,1.33343,0.0735438,1, 
168.off: Teddy,10752,2.2995,0.0658472,0.994027,10752,1.25649,0.038222,1, 
169.off: Teddy,12561,2.48031,0.0209673,0.999737,12561,1.36545,0.0111211,1, 
170.off: Teddy,12500,2.38077,0.0184987,0.998698,12500,1.36706,0.0138493,1, 
171.off: Teddy,14905,2.26559,0.0463138,0.99909,14905,1.24458,0.005391,1, 
172.off: Teddy,10141,2.38243,0.0875993,0.885489,10141,1.20064,0.0273983,1, 
173.off: Teddy,13867,2.04454,0.15549,0.995889,13867,1.23829,0.0636277,1, 
174.off: Teddy,12831,2.30491,0.0605208,0.999471,12831,1.31704,0.0287667,1, 
175.off: Teddy,9480,2.39225,0.0173691,0.976744,9480,1.22192,0.0205161,1, 
176.off: Teddy,12500,2.35887,0.144643,0.993269,12500,1.42418,0.0729271,1, 
177.off: Teddy,12543,2.26282,0.130428,0.9993,12543,1.30771,0.045238,1, 
178.off: Teddy,12175,2.17378,0.164034,0.983721,12175,1.29963,0.0614109,1, 
179.off: Teddy,13324,2.30891,0.153953,0.991067,13324,1.3471,0.0732005,1, 
180.off: Teddy,9548,2.25543,0.054391,0.999464,9548,1.24333,0.0299145,1, 
181.off: Hand,7242,2.24153,0.126065,0.948787,7242,1.1517,0.0602567,1, 
182.off: Hand,10283,2.30577,0.0554323,0.84784,10283,1.19626,0.0433847,1, 
183.off: Hand,11413,2.58181,0.169791,0.956609,11413,1.3584,0.07588,1, 
184.off: Hand,4685,2.08315,0.133128,0.903343,4685,1.18644,0.0668578,1, 
185.off: Hand,2489,1.97074,0.168802,0.962246,2489,1.18239,0.108589,1, 
186.off: Hand,6607,2.19478,0.122373,0.98111,6607,1.19737,0.0670663,1, 
187.off: Hand,7628,2.25011,0.123617,0.948617,7628,1.15278,0.0580327,1, 
188.off: Hand,8603,2.42943,0.181744,0.945591,8603,1.35275,0.127564,1, 
189.off: Hand,14084,2.24633,0.193128,0.798228,14084,1.51546,0.153579,1, 
190.off: Hand,7500,2.05097,0.23713,0.966731,7500,1.25837,0.114494,1, 
191.off: Hand,13766,2.46989,0.167352,0.782938,13766,1.30089,0.0372608,1, 
192.off: Hand,6991,2.22283,0.103067,0.878344,6991,1.2242,0.0599705,1, 
193.off: Hand,7314,1.87474,0.187723,0.993984,7314,1.17155,0.112861,1, 
194.off: Hand,8471,2.03532,0.129362,0.86044,8471,1.16822,0.0974173,1, 
195.off: Hand,8524,1.98557,0.144828,0.958259,8524,1.13347,0.0707505,1, 
196.off: Hand,7112,2.09992,0.228361,0.894699,7112,1.28657,0.134339,1, 
197.off: Hand,7553,1.96859,0.221303,0.943747,7553,1.18803,0.113413,1, 
198.off: Hand,9564,2.1275,0.0978753,0.995952,9564,1.09015,0.0423909,1, 
199.off: Hand,8647,2.16934,0.0588799,0.993928,8647,1.13309,0.0147436,1, 
200.off: Hand,5857,2.26779,0.0984892,0.920568,5857,1.26706,0.0548119,1, 
201.off: Plier,4487,2.19484,0.0952957,0.955555,4487,1.15359,0.0556256,1, 
202.off: Plier,4491,2.1967,0.107708,0.966096,4491,1.18047,0.0589165,1, 
203.off: Plier,3906,2.18733,0.122603,0.974964,3906,1.21711,0.0620601,1, 
204.off: Plier,4407,2.22259,0.100372,0.961252,4407,1.15429,0.0280672,1, 
205.off: Plier,4478,2.27391,0.0444776,0.981846,4478,1.14409,0.0175945,1, 
206.off: Plier,4794,2.21263,0.125714,0.994605,4794,1.24259,0.0482998,1, 
207.off: Plier,5202,2.24433,0.0907883,0.999961,5202,1.27818,0.0536172,1, 
208.off: Plier,6104,2.20676,0.0753192,0.989569,6104,1.34718,0.06055,1, 
209.off: Plier,5110,2.19632,0.0856027,0.998487,5110,1.33299,0.0514364,1, 
210.off: Plier,5508,2.2079,0.0885306,0.987528,5508,1.25928,0.0406674,1, 
211.off: Plier,4284,2.22925,0.106625,0.973981,4284,1.19829,0.0347816,1, 
212.off: Plier,4298,2.2544,0.0986088,0.919003,4298,1.10021,0.0217478,1, 
213.off: Plier,3963,2.11269,0.0679265,0.479268,3963,1.03676,0.00585754,1, 
214.off: Plier,3804,2.16884,0.0612106,0.401273,3804,1.05178,0.00888123,1, 
215.off: Plier,4463,2.22619,0.0519485,0.939601,4463,1.07027,0.0105538,1, 
216.off: Plier,4478,2.238,0.0538163,0.956517,4478,1.08689,0.0136469,1, 
217.off: Plier,5201,2.18197,0.0486253,0.994299,5201,1.18976,0.0172522,1, 
218.off: Plier,6198,2.05669,0.055818,0.999851,6198,1.26515,0.0331237,1, 
219.off: Plier,3942,2.2025,0.180802,0.949237,3942,1.38408,0.0973532,1, 
220.off: Plier,4457,2.15801,0.144161,0.952268,4457,1.29918,0.0500865,1, 
221.off: Fish,7121,2.16041,0.0630233,0.994835,7121,1.19237,0.0517687,1, 
222.off: Fish,5255,2.0088,0.103774,0.999972,5255,1.1076,0.0582426,1, 
223.off: Fish,6656,2.10729,0.0962091,0.973286,6656,1.19214,0.0557221,1, 
224.off: Fish,5061,1.99149,0.117665,0.978485,5061,1.09352,0.0449081,1, 
225.off: Fish,6076,2.08788,0.114662,0.968251,6076,1.17203,0.0558147,1, 
226.off: Fish,5216,2.02321,0.0720585,0.993208,5216,1.09328,0.0311871,1, 
227.off: Fish,5216,2.02321,0.0720585,0.993208,5216,1.09328,0.0311871,1, 
228.off: Fish,5592,2.02773,0.0756561,0.99959,5592,1.1338,0.0420785,1, 
229.off: Fish,5245,2.07076,0.0950849,0.999986,5245,1.107,0.0501618,1, 
230.off: Fish,7573,2.18373,0.0687071,0.99413,7573,1.20024,0.0533046,1, 
231.off: Fish,6264,2.05303,0.117459,0.976962,6264,1.14661,0.0479641,1, 
232.off: Fish,5440,1.97554,0.0684826,0.971569,5440,1.08555,0.0326744,1, 
233.off: Fish,10186,2.17749,0.148442,0.953282,10186,1.30702,0.085459,1, 
234.off: Fish,7498,2.18078,0.0912838,0.970627,7498,1.21198,0.0462875,1, 
235.off: Fish,5250,2.0306,0.123951,0.965237,5250,1.11172,0.0349428,1, 
236.off: Fish,4845,1.99221,0.0982874,0.960454,4845,1.09796,0.0490669,1, 
237.off: Fish,4439,1.94502,0.0802597,0.97799,4439,1.06453,0.0427679,1, 
238.off: Fish,5096,1.95996,0.077565,0.969806,5096,1.08944,0.043839,1, 
239.off: Fish,5121,2.0236,0.0716978,0.980272,5121,1.0838,0.0382216,1, 
240.off: Fish,6833,2.02434,0.134071,0.961186,6833,1.15494,0.0582794,1, 
241.off: Bird,3478,2.44256,0.130862,0.999321,3478,1.22798,0.0664968,1, 
242.off: Bird,7849,2.37396,0.028903,0.999999,7849,1.28376,0.0619497,1, 
243.off: Bird,3158,2.133,0.00542232,1,3158,1.07081,0.0266125,1, 
244.off: Bird,4501,2.19039,0.0990452,1,4501,1.11305,0.0519196,1, 
245.off: Bird,6475,2.33891,0.0423289,0.999999,6475,1.27209,0.0686535,1, 
246.off: Bird,4219,2.12551,0.0821955,0.999999,4219,1.07565,0.0509138,1, 
247.off: Bird,5519,2.22934,0.092,0.998257,5519,1.17797,0.0846765,1, 
248.off: Bird,11790,2.25363,0.144016,0.879615,11790,1.54315,0.208589,1, 
249.off: Bird,3714,2.22179,0.126101,0.999644,3714,1.12752,0.0494458,1, 
250.off: Bird,4280,2.35265,0.0849116,0.999679,4280,1.22868,0.0450452,1, 
251.off: Bird,3158,2.133,0.00542232,1,3158,1.07081,0.0266125,1, 
252.off: Bird,6351,2.17841,0.132673,0.999547,6351,1.25927,0.0702915,1, 
253.off: Bird,6164,2.4762,0.126391,0.999723,6164,1.35288,0.0529372,1, 
254.off: Bird,3638,2.22033,0.0662381,0.998656,3638,1.11268,0.0354561,1, 
255.off: Bird,5054,2.27629,0.0442005,0.999997,5054,1.1727,0.0244669,1, 
256.off: Bird,5970,2.58677,0.117365,0.986133,5970,1.34793,0.0638723,1, 
257.off: Bird,2135,2.15639,0.107396,0.999416,2135,1.12599,0.0566575,1, 
258.off: Bird,8946,2.34713,0.0616379,0.850935,8946,1.42521,0.087436,1, 
259.off: Bird,9015,2.49917,0.0733185,0.999774,9015,1.41001,0.0463445,1, 
260.off: Bird,2497,1.9653,0.10568,0.706739,2497,1.50198,0.176898,1, 
281.off: Armadillo,25273,2.14489,0.125816,0.844803,25273,1.41782,0.0736778,1, 
282.off: Armadillo,24473,2.07436,0.086179,0.782581,24473,1.25938,0.0599476,1, 
283.off: Armadillo,24484,2.27816,0.0334021,0.984255,24484,1.14953,0.0329375,1, 
284.off: Armadillo,25494,2.31612,0.124381,0.805715,25494,1.38977,0.131125,1, 
285.off: Armadillo,25193,2.349,0.125544,0.862388,25193,1.32617,0.07358,1, 
286.off: Armadillo,25108,2.2961,0.112911,0.965302,25108,1.55561,0.115768,1, 
287.off: Armadillo,25491,2.45531,0.100541,0.99984,25491,1.40285,0.034188,1, 
288.off: Armadillo,20000,2.49982,0.106901,0.483342,20000,1.57629,0.0500068,1, 
289.off: Armadillo,25211,2.76726,0.210804,0.509142,25211,1.50525,0.0298203,1, 
290.off: Armadillo,25431,2.17158,0.14734,0.74558,25431,1.29125,0.0290416,1, 
291.off: Armadillo,24615,2.29264,0.0421803,0.843565,24615,1.19504,0.0408294,1, 
292.off: Armadillo,21774,2.18081,0.113223,0.523673,21774,1.4293,0.0629413,1, 
293.off: Armadillo,15000,2.08318,0.0798996,0.738938,15000,1.25158,0.0643578,1, 
294.off: Armadillo,16501,2.17943,0.039439,0.99649,16501,1.12366,0.0216704,1, 
295.off: Armadillo,16780,2.12604,0.197569,0.99875,16780,1.34255,0.120409,1, 
296.off: Armadillo,15832,2.22491,0.0733144,0.816091,15832,1.2829,0.063229,1, 
297.off: Armadillo,15315,2.21186,0.162547,0.626476,15315,1.38491,0.0470158,1, 
298.off: Armadillo,15000,2.42877,0.0857863,0.99993,15000,1.40364,0.0331982,1, 
299.off: Armadillo,17117,2.51847,0.10281,0.418165,17117,1.56878,0.0625638,1, 
300.off: Armadillo,17453,2.70915,0.211607,0.492672,17453,1.50151,0.0702938,1, 
301.off: Bust,9252,2.28154,0.0178555,0.925642,9252,1.22159,0.0142081,1, 
302.off: Bust,25125,2.45386,0.107564,0.999992,25125,1.38221,0.059102,1, 
303.off: Bust,15516,2.02873,0.167525,0.919771,15516,1.31935,0.132625,1, 
304.off: Bust,25467,2.32572,0.0201032,0.999996,25467,1.20173,0.0101845,1, 
305.off: Bust,27824,2.65539,0.0741634,0.896613,27824,1.4508,0.043536,1, 
306.off: Bust,26798,2.32454,0.171502,0.917507,26798,1.3723,0.0962834,1, 
307.off: Bust,27439,2.994,0.0242104,0.445633,27439,1.49542,0.0476305,1, 
308.off: Bust,23976,2.94753,0.0947183,0.754806,23976,1.50852,0.0465068,1, 
309.off: Bust,5197,2.14554,0.170508,0.804761,5197,1.42433,0.0765168,1, 
310.off: Bust,8263,2.90737,0.0787642,0.705506,8263,1.52367,0.0295101,1, 
311.off: Bust,25230,2.45232,0.107785,0.974769,25230,1.32721,0.0638386,1, 
312.off: Bust,26985,2.49634,0.116104,0.973715,26985,1.47367,0.0934791,1, 
313.off: Bust,10852,2.52896,0.0843119,0.731871,10852,1.38473,0.0215406,1, 
314.off: Bust,26437,2.29748,0.207145,0.999875,26437,1.45541,0.130992,1, 
315.off: Bust,25768,2.39019,0.0852221,0.839394,25768,1.34895,0.118469,1, 
316.off: Bust,23395,2.44016,0.128149,0.903395,23395,1.3425,0.0831835,1, 
317.off: Bust,27726,2.48704,0.101318,0.999665,27726,1.37051,0.0523296,1, 
318.off: Bust,25145,2.30529,0.038328,0.832095,25145,1.27707,0.0650348,1, 
319.off: Bust,26558,2.52412,0.0428421,0.989055,26558,1.29115,0.0107417,1, 
320.off: Bust,27118,2.79098,0.098814,0.973239,27118,1.54673,0.0853652,1, 
321.off: Mech,14995,2.10733,0.0836545,0.982974,14995,1.57539,0.0543891,1, 
322.off: Mech,14991,2.1083,0.0812656,0.974371,14991,1.60521,0.0557016,1, 
323.off: Mech,14991,2.10658,0.0824153,0.897903,14991,1.72096,0.0560869,1, 
324.off: Mech,14812,2.34454,0.0414797,0.689302,14812,1.5988,0.0196414,1, 
325.off: Mech,14999,2.41044,0.0708203,0.927385,14999,1.57731,0.0860472,1, 
326.off: Mech,14995,2.34128,0.0471405,0.99977,14995,1.56116,0.0833042,1, 
327.off: Mech,14937,2.27774,0.0573438,0.910503,14937,1.5127,0.0413188,1, 
328.off: Mech,14994,2.13343,0.102351,0.996573,14994,1.5088,0.0687464,1, 
329.off: Mech,14999,2.12174,0.0968018,0.947653,14999,1.65895,0.0630721,1, 
330.off: Mech,15000,2.12044,0.0923395,0.859425,15000,1.72354,0.0617204,1, 
331.off: Mech,15000,2.15585,0.13883,0.910825,15000,1.5954,0.0861577,1, 
332.off: Mech,14997,2.15908,0.121544,0.940958,14997,1.56339,0.0745942,1, 
333.off: Mech,14942,2.13066,0.134982,0.99788,14942,1.38721,0.0830446,1, 
334.off: Mech,14997,2.0792,0.0368615,0.999468,14997,1.56872,0.0270735,1, 
