Category,A,B,C,D,E,F,F.1,F.2,F.3,F.4,F.5,F.6,F.7,F.8,F.9,G,G.1,G.2,G.3,G.4,G.5,G.6,G.7,G.8,G.9,H,H.1,H.2,H.3,H.4,H.5,H.6,H.7,H.8,H.9,I,I.1,I.2,I.3,I.4,I.5,I.6,I.7,I.8,I.9,J,J.1,J.2,J.3,J.4,J.5,J.6,J.7,J.8,J.9,Selected,No,t-SNE-x,t-SNE-y
Human,-0.843571465,-0.074822838,-0.62676443,-0.688724144,0.582537998,0.942667,0.0416667,0.006,0.00566667,0.001,0.00133333,0.000333333,0.0,0.000333333,0.001,0.102667,0.132333,0.134,0.163333,0.15,0.0986667,0.0783333,0.062,0.0446667,0.034,0.0993333,0.202667,0.204667,0.153,0.125333,0.091,0.0576667,0.04,0.0196667,0.00666667,0.0273333,0.113667,0.200333,0.247,0.186667,0.131333,0.062,0.0226667,0.00766667,0.00133333,0.00666667,0.065,0.184667,0.193,0.0456667,0.0573333,0.202,0.17,0.0666667,0.009,No,9,3.824389695851146,5.39196690572488
Human,-0.765926367,-0.096216778,-0.597687856,-0.62088899,2.176944442,0.961333,0.028,0.00733333,0.000666667,0.001,0.000333333,0.000666667,0.0,0.000333333,0.000333333,0.0313333,0.119333,0.0903333,0.107,0.216333,0.0913333,0.058,0.0676667,0.117,0.101667,0.0813333,0.16,0.187667,0.155667,0.142333,0.101333,0.074,0.049,0.031,0.0176667,0.0383333,0.119667,0.21,0.217667,0.173333,0.111667,0.0726667,0.0336667,0.0193333,0.00366667,0.0153333,0.106333,0.219333,0.151,0.0206667,0.077,0.216,0.144333,0.045,0.005,No,10,5.13932213482914,4.5316722881508245
Human,-0.585690687,-0.241644458,-0.543333206,-0.661130184,1.128162164,0.976,0.0176667,0.00333333,0.00133333,0.000333333,0.000666667,0.0,0.0,0.000333333,0.000333333,0.125667,0.121667,0.0923333,0.0906667,0.0946667,0.153333,0.0896667,0.073,0.103,0.056,0.058,0.160333,0.184333,0.155667,0.13,0.0946667,0.0853333,0.0643333,0.0533333,0.014,0.0526667,0.198,0.297667,0.229,0.131,0.0506667,0.023,0.0126667,0.004,0.00133333,0.0116667,0.0696667,0.204,0.193333,0.0336667,0.066,0.205667,0.169,0.044,0.003,No,11,12.457231823277066,-3.9410444341247666
Human,-0.623525528,-0.32352319,-0.542016992,-0.650526949,1.093636405,0.997,0.002,0.000333333,0.0,0.0,0.0,0.0,0.000333333,0.0,0.000333333,0.104,0.145667,0.103667,0.094,0.092,0.127333,0.0946667,0.087,0.101333,0.0503333,0.061,0.184,0.186,0.14,0.127333,0.103333,0.0746667,0.0643333,0.0463333,0.013,0.036,0.188,0.301333,0.26,0.129667,0.05,0.0213333,0.012,0.00133333,0.000333333,0.015,0.0976667,0.209667,0.153667,0.0223333,0.092,0.219667,0.148667,0.0383333,0.003,No,12,12.464740448182637,-3.9330639237304035
Human,-0.554732355,-0.476380573,-0.409866615,-0.641073462,0.320527622,0.931333,0.048,0.0113333,0.00466667,0.002,0.000666667,0.001,0.000333333,0.000333333,0.000333333,0.0476667,0.176667,0.117667,0.165,0.149,0.09,0.0803333,0.055,0.0606667,0.058,0.077,0.184,0.214333,0.179333,0.150333,0.0896667,0.062,0.026,0.013,0.00433333,0.0253333,0.093,0.160333,0.228667,0.196667,0.153,0.0863333,0.0336667,0.0186667,0.00433333,0.0223333,0.125667,0.193667,0.135333,0.0233333,0.0476667,0.17,0.188667,0.0836667,0.00966667,No,13,3.5253671695902455,5.841448293383725
Human,-0.652104701,-0.126091624,-0.594089552,-0.121514947,-0.651557698,0.929,0.0496667,0.012,0.00433333,0.00266667,0.001,0.0,0.000333333,0.000666667,0.000333333,0.067,0.196667,0.187333,0.249333,0.135,0.0593333,0.029,0.0293333,0.0356667,0.0113333,0.108333,0.140333,0.151333,0.184333,0.158333,0.1,0.0766667,0.055,0.0203333,0.00533333,0.0696667,0.201667,0.246667,0.169,0.133333,0.0876667,0.0516667,0.0273333,0.0103333,0.00266667,0.00366667,0.015,0.062,0.202333,0.210333,0.127333,0.249333,0.103,0.021,0.006,No,14,11.586362979312442,-0.26134006368503226
Human,-0.516408341,-0.10839673,-0.485833,-0.680548156,-0.337906837,0.888333,0.0706667,0.0266667,0.00566667,0.004,0.00133333,0.00166667,0.000666667,0.000666667,0.000333333,0.0306667,0.114667,0.245333,0.239333,0.220667,0.0523333,0.0286667,0.0256667,0.0246667,0.018,0.0903333,0.154,0.202,0.195667,0.148667,0.105,0.0483333,0.033,0.0156667,0.00733333,0.0313333,0.106667,0.156,0.196333,0.191,0.15,0.109667,0.0456667,0.0123333,0.001,0.0206667,0.07,0.171333,0.175,0.0663333,0.0486667,0.158333,0.166333,0.097,0.0263333,No,15,1.237984872999462,-9.463413911326322
Human,-0.627414337,-0.266342656,-0.49778401,-0.650910198,-0.099087932,0.954333,0.0373333,0.00366667,0.002,0.001,0.000666667,0.0,0.0,0.000333333,0.000666667,0.026,0.0876667,0.207333,0.180333,0.107,0.111,0.078,0.081,0.0793333,0.0423333,0.0823333,0.181333,0.221667,0.174333,0.119333,0.0913333,0.0596667,0.0436667,0.0183333,0.008,0.022,0.095,0.170333,0.200333,0.206333,0.147,0.104667,0.0416667,0.0113333,0.00133333,0.011,0.073,0.190667,0.174,0.043,0.066,0.195,0.172,0.0663333,0.009,No,16,3.357466948728862,4.550491140023786
Human,-0.625154545,-0.140161452,-0.540739962,0.01517736,-0.06655693,0.961333,0.031,0.00433333,0.00133333,0.00133333,0.0,0.0,0.0,0.000333333,0.000333333,0.0246667,0.07,0.163333,0.152667,0.115667,0.142,0.124667,0.100667,0.0683333,0.038,0.0586667,0.148667,0.195667,0.169333,0.143,0.116,0.0723333,0.0566667,0.0293333,0.0103333,0.0513333,0.150667,0.223667,0.221333,0.161667,0.110333,0.0546667,0.0176667,0.00533333,0.00333333,0.00166667,0.037,0.138333,0.243667,0.071,0.0486667,0.23,0.174333,0.0506667,0.00466667,No,17,4.60676503631862,0.2798118730409796
Human,-0.345264492,-0.529909813,-0.238162139,-0.632514224,-0.398210474,0.979,0.0153333,0.00266667,0.00233333,0.0,0.0,0.000333333,0.0,0.0,0.000333333,0.0213333,0.0526667,0.134667,0.221667,0.196667,0.120667,0.085,0.073,0.0626667,0.0316667,0.0533333,0.126,0.221333,0.221333,0.144,0.109667,0.0613333,0.038,0.0163333,0.00866667,0.014,0.0606667,0.122333,0.183333,0.189,0.172,0.131,0.088,0.033,0.00666667,0.0113333,0.0693333,0.175333,0.176333,0.058,0.0273333,0.159,0.196667,0.108333,0.0183333,No,18,0.013883386170140798,4.336724679832534
Human,-0.736833446,-0.170473457,-0.5781354,-0.676715661,1.64373425,0.968,0.0203333,0.00633333,0.002,0.001,0.0,0.000333333,0.000666667,0.001,0.000333333,0.0313333,0.119333,0.120667,0.128333,0.209333,0.106,0.079,0.047,0.073,0.086,0.082,0.188333,0.211333,0.177333,0.136,0.0896667,0.052,0.038,0.0153333,0.01,0.0296667,0.109333,0.190333,0.213667,0.185333,0.126,0.077,0.0426667,0.019,0.007,0.0176667,0.100667,0.187333,0.155667,0.0346667,0.032,0.151667,0.193667,0.100333,0.0263333,No,19,3.9497018103686345,4.38243390619636
Human,-0.723404593,-0.078145254,-0.584285449,-0.627404231,2.048781299,0.988,0.00833333,0.00266667,0.0,0.000666667,0.0,0.0,0.0,0.0,0.000333333,0.0526667,0.112667,0.102333,0.201667,0.145333,0.107333,0.075,0.0733333,0.065,0.0646667,0.0726667,0.17,0.213667,0.177,0.135667,0.0973333,0.0656667,0.0376667,0.0206667,0.00966667,0.027,0.122333,0.193333,0.223333,0.178667,0.132333,0.0723333,0.034,0.0136667,0.003,0.00166667,0.039,0.168,0.205,0.0823333,0.02,0.161,0.212333,0.0966667,0.014,No,20,4.47023332500729,2.343756436635275
Cup,2.176434095,1.703154163,0.240870286,-0.429008762,-0.746110637,0.989333,0.00766667,0.00133333,0.000333333,0.000666667,0.000333333,0.0,0.0,0.0,0.000333333,0.0673333,0.124333,0.197,0.169,0.183333,0.119333,0.0526667,0.048,0.022,0.017,0.022,0.0516667,0.103667,0.126,0.154667,0.174,0.195,0.116,0.0403333,0.0166667,0.015,0.0573333,0.0876667,0.135,0.168,0.192,0.182333,0.118333,0.038,0.00633333,0.0283333,0.137333,0.188,0.130667,0.0236667,0.0356667,0.150667,0.185,0.105667,0.015,No,21,-13.668147864172049,6.230485431974467
Cup,2.862282746,0.594139647,0.903510107,0.146887424,-0.752961562,0.962,0.0306667,0.00333333,0.00133333,0.00166667,0.0,0.0,0.000333333,0.000333333,0.000333333,0.0386667,0.0476667,0.0683333,0.128667,0.143,0.0893333,0.16,0.169,0.0933333,0.062,0.017,0.0666667,0.091,0.108333,0.141,0.158,0.179667,0.142,0.071,0.0253333,0.008,0.0353333,0.0836667,0.128,0.153667,0.182333,0.183333,0.151333,0.0646667,0.00966667,0.029,0.118333,0.189333,0.126333,0.032,0.023,0.131333,0.185333,0.136333,0.029,No,22,-13.58882262943121,4.5063435423659595
Cup,1.714060273,0.785245844,0.258773646,-0.525459875,-0.726649651,0.920667,0.058,0.0123333,0.004,0.00166667,0.002,0.000666667,0.0,0.000333333,0.000333333,0.063,0.100667,0.134,0.166333,0.180333,0.129667,0.107,0.0793333,0.0226667,0.017,0.0273333,0.0706667,0.098,0.126667,0.16,0.176333,0.180333,0.129333,0.0213333,0.01,0.00833333,0.0366667,0.087,0.132,0.169667,0.178333,0.182,0.135667,0.056,0.0143333,0.0256667,0.128333,0.179667,0.127,0.0213333,0.032,0.146333,0.195333,0.118333,0.026,No,23,-12.523583408078746,5.927384076293965
Cup,2.838760311,0.070004924,1.287055572,0.147270673,-0.751722586,0.965333,0.0236667,0.00733333,0.002,0.000666667,0.000333333,0.000333333,0.0,0.0,0.000333333,0.0236667,0.035,0.0413333,0.105667,0.108,0.132,0.138,0.228333,0.123333,0.0646667,0.0193333,0.06,0.089,0.113667,0.141333,0.167333,0.189333,0.138333,0.068,0.0136667,0.00766667,0.028,0.0806667,0.117333,0.151,0.175667,0.184667,0.158667,0.0823333,0.014,0.0153333,0.117333,0.201333,0.139667,0.028,0.028,0.139,0.189333,0.125333,0.0166667,No,24,-13.631092730043695,4.35458096553491
Cup,2.613939671,4.857680906,0.015493132,0.348093389,-0.714139329,0.999667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.033,0.0683333,0.081,0.117667,0.143333,0.156,0.163333,0.144,0.072,0.0213333,0.018,0.052,0.086,0.114333,0.180667,0.205,0.147667,0.109667,0.07,0.0166667,0.00733333,0.0323333,0.0833333,0.126,0.173,0.190333,0.194,0.141333,0.0436667,0.00866667,0.039,0.151667,0.185333,0.117667,0.0183333,0.0326667,0.133,0.173,0.128333,0.021,No,26,-14.274983280210247,5.457442365537687
Cup,2.631341592,2.359903069,0.26751694,0.26978275,-0.731496136,0.949667,0.038,0.00733333,0.002,0.00133333,0.001,0.0,0.0,0.000333333,0.000333333,0.0316667,0.068,0.109667,0.153,0.177,0.141,0.113333,0.119333,0.0636667,0.0233333,0.025,0.0693333,0.0966667,0.127333,0.163333,0.194667,0.147,0.111,0.055,0.0106667,0.0103333,0.0413333,0.106,0.156,0.221,0.184333,0.171,0.0863333,0.021,0.00266667,0.0213333,0.121667,0.19,0.135333,0.0323333,0.0283333,0.135333,0.195,0.121,0.0196667,No,27,-13.179004667458294,5.647196043174943
Cup,2.18779742,1.712852391,0.239399118,-0.407291293,-0.748628776,0.974,0.018,0.00433333,0.00133333,0.001,0.0,0.000666667,0.000333333,0.0,0.000333333,0.0576667,0.1,0.183333,0.162333,0.182333,0.144667,0.0696667,0.067,0.017,0.016,0.019,0.064,0.101667,0.120333,0.155333,0.172,0.197,0.116333,0.0416667,0.0126667,0.00766667,0.0346667,0.0816667,0.130333,0.175333,0.209667,0.197667,0.124333,0.0353333,0.00333333,0.026,0.119,0.201,0.133333,0.0293333,0.027,0.122,0.188,0.126333,0.028,No,28,-13.377619817984305,6.0194457878349725
Cup,2.052443949,3.495066482,-0.075648006,0.081607266,-0.729892584,0.999667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000333333,0.0143333,0.051,0.0756667,0.129,0.166,0.168667,0.178667,0.127333,0.0636667,0.0256667,0.027,0.0536667,0.0913333,0.128333,0.210333,0.190667,0.148,0.0996667,0.0436667,0.00733333,0.00733333,0.048,0.0963333,0.142667,0.193333,0.220667,0.171333,0.0913333,0.023,0.006,0.00866667,0.0933333,0.185,0.165667,0.0453333,0.0193333,0.144667,0.190667,0.122667,0.0246667,No,29,-14.454366494029482,5.938293554392325
Cup,0.956216589,0.901281572,-0.132528398,1.481234286,-0.657232104,0.972667,0.02,0.00433333,0.00166667,0.000333333,0.000333333,0.0,0.0,0.000333333,0.000333333,0.0173333,0.0853333,0.0933333,0.113667,0.115,0.128,0.193667,0.055,0.0603333,0.138333,0.0403333,0.106,0.144333,0.155,0.159667,0.118667,0.0713333,0.084,0.089,0.0316667,0.0236667,0.0923333,0.152667,0.199333,0.185667,0.143667,0.0983333,0.0603333,0.034,0.01,0.0216667,0.073,0.165333,0.185,0.0433333,0.0576667,0.2,0.164667,0.0696667,0.0196667,No,30,-8.936794674283057,-1.146735810507279
Cup,2.466017497,-0.011078177,0.995319149,-0.084339749,-0.745160706,0.959,0.0306667,0.006,0.002,0.000666667,0.000666667,0.0,0.000333333,0.0,0.000666667,0.0353333,0.0383333,0.0673333,0.126667,0.125667,0.148333,0.144,0.125333,0.113333,0.0756667,0.0153333,0.0623333,0.092,0.127333,0.16,0.179333,0.161667,0.117,0.063,0.022,0.0123333,0.0503333,0.0966667,0.154333,0.185667,0.199,0.169333,0.0893333,0.037,0.006,0.0156667,0.103667,0.192,0.148,0.0346667,0.0243333,0.153,0.191,0.118333,0.0193333,No,31,-13.210936226073281,4.704935060909666
Cup,2.379019598,4.192498174,-0.001733419,-0.182451611,-0.738975023,0.973,0.019,0.005,0.00166667,0.000666667,0.000333333,0.0,0.0,0.0,0.000333333,0.0416667,0.0916667,0.145333,0.169333,0.159667,0.141667,0.126667,0.0823333,0.0243333,0.0173333,0.0233333,0.0676667,0.095,0.136,0.183,0.211667,0.137667,0.0953333,0.0426667,0.00766667,0.00733333,0.0316667,0.084,0.119333,0.164667,0.206,0.19,0.129667,0.0566667,0.0106667,0.00966667,0.0966667,0.179667,0.148667,0.0513333,0.0146667,0.132333,0.186333,0.150667,0.03,No,32,-13.720259359582588,6.307199087327962
Cup,2.759509602,0.671604408,0.7629869,0.048009063,-0.769980423,0.99,0.00733333,0.002,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.066,0.0913333,0.139667,0.144,0.181333,0.189,0.083,0.046,0.0326667,0.027,0.0143333,0.0533333,0.086,0.115667,0.146,0.185667,0.212667,0.131333,0.04,0.015,0.016,0.0416667,0.0863333,0.143,0.182667,0.2,0.192667,0.107667,0.026,0.004,0.025,0.122,0.184667,0.126333,0.029,0.0186667,0.123,0.200667,0.135333,0.0353333,No,33,-13.822736983570056,5.843348420873421
Cup,3.173797015,0.181675777,1.268176183,1.037048164,-0.755190655,0.985333,0.0113333,0.00133333,0.001,0.000666667,0.0,0.0,0.0,0.0,0.000333333,0.017,0.055,0.136667,0.142333,0.13,0.109333,0.108333,0.117667,0.131667,0.052,0.0176667,0.048,0.0866667,0.131,0.180333,0.208,0.160667,0.103333,0.0493333,0.015,0.00366667,0.0346667,0.0746667,0.145,0.194,0.204333,0.186333,0.115,0.039,0.00333333,0.0316667,0.152333,0.187333,0.123667,0.0166667,0.0393333,0.158333,0.179333,0.101,0.0103333,No,34,-13.778619632589908,5.191662935192852
Cup,1.704159785,0.241035386,0.53857687,1.334321994,-0.668549446,0.991,0.006,0.002,0.000333333,0.0,0.0,0.000333333,0.0,0.0,0.000333333,0.00933333,0.0533333,0.0916667,0.117667,0.167,0.112333,0.123333,0.159333,0.0663333,0.0996667,0.0286667,0.0896667,0.139333,0.169,0.213333,0.141,0.0793333,0.0686667,0.0483333,0.0226667,0.0133333,0.054,0.118333,0.175,0.201333,0.183667,0.115333,0.0743333,0.0496667,0.015,0.0136667,0.0863333,0.193,0.178,0.0343333,0.0383333,0.171333,0.188333,0.085,0.0116667,No,35,-9.072991991687845,-0.7601634604411087
Cup,3.323053297,5.046977933,0.159095817,1.441376343,-0.755036206,0.98,0.0143333,0.00233333,0.00233333,0.000333333,0.0,0.000333333,0.0,0.0,0.000333333,0.0666667,0.168667,0.194333,0.178667,0.151667,0.113667,0.0663333,0.039,0.0113333,0.00966667,0.024,0.0693333,0.104333,0.137333,0.184667,0.225,0.141,0.0833333,0.0283333,0.00266667,0.0133333,0.0493333,0.0933333,0.146,0.193333,0.209,0.173667,0.0996667,0.02,0.00233333,0.0263333,0.132667,0.192667,0.122,0.0186667,0.042,0.16,0.186667,0.106333,0.0126667,No,36,-13.8491267528948,6.676915285754168
Cup,3.417189846,1.31353695,0.859724174,0.03651158,-0.776500664,0.993,0.00366667,0.00166667,0.001,0.0,0.0,0.0,0.000333333,0.0,0.000333333,0.0563333,0.0783333,0.114,0.152667,0.144667,0.129333,0.106,0.129667,0.0796667,0.00933333,0.0203333,0.0586667,0.079,0.102667,0.146333,0.195333,0.212333,0.12,0.051,0.0143333,0.006,0.034,0.075,0.109667,0.16,0.192667,0.195333,0.152667,0.0623333,0.0123333,0.0333333,0.136667,0.188333,0.117333,0.0173333,0.041,0.142667,0.197667,0.112667,0.013,No,37,-13.965666109229142,5.309476770893537
Cup,2.721534329,1.49906095,0.509125024,-0.046525803,-0.730761659,0.927333,0.0506667,0.0133333,0.00266667,0.00233333,0.001,0.001,0.000666667,0.000333333,0.000666667,0.005,0.0303333,0.033,0.0483333,0.112333,0.147667,0.209333,0.177333,0.143,0.0936667,0.0353333,0.0606667,0.076,0.099,0.118333,0.172333,0.178,0.14,0.094,0.0263333,0.021,0.0573333,0.100667,0.132,0.146667,0.157333,0.182667,0.153,0.042,0.00733333,0.0253333,0.109667,0.165667,0.156333,0.0383333,0.036,0.145333,0.159667,0.129667,0.034,No,38,-13.455665316271224,4.006220043608493
Cup,2.4725242,4.547895843,0.105202287,0.302869953,-0.684172461,0.963667,0.027,0.00566667,0.00133333,0.000666667,0.000333333,0.000333333,0.000333333,0.000333333,0.000333333,0.117,0.165,0.107,0.095,0.0913333,0.0763333,0.0876667,0.087,0.0513333,0.122333,0.028,0.066,0.0993333,0.169333,0.204667,0.173333,0.121667,0.0703333,0.0516667,0.0156667,0.0146667,0.0413333,0.079,0.117333,0.148333,0.178333,0.181,0.142667,0.0823333,0.015,0.0323333,0.137667,0.188,0.122333,0.0286667,0.0126667,0.0976667,0.152333,0.162667,0.0656667,No,40,-12.82724433431948,6.607997798841894
Glass,-0.628890048,1.941830099,-0.666160905,3.060605302,-0.157991366,0.958,0.0323333,0.00566667,0.003,0.000666667,0.0,0.0,0.0,0.0,0.000333333,0.123333,0.192667,0.214333,0.222333,0.0683333,0.0406667,0.0303333,0.0286667,0.0366667,0.0426667,0.093,0.159,0.129,0.122667,0.111333,0.0993333,0.103,0.107333,0.0526667,0.0226667,0.0733333,0.187667,0.199667,0.151,0.124667,0.092,0.062,0.0553333,0.0326667,0.0216667,0.0113333,0.0686667,0.128667,0.174333,0.118667,0.110667,0.171,0.135667,0.0666667,0.0143333,No,41,14.591550527361955,2.60472794252622
Glass,-1.005136652,0.816149697,-0.712854798,0.46064098,0.152222412,0.997333,0.00166667,0.000333333,0.000333333,0.0,0.0,0.0,0.0,0.0,0.000333333,0.124333,0.234667,0.227333,0.175,0.0533333,0.0483333,0.038,0.0376667,0.0333333,0.028,0.128333,0.187333,0.153,0.144333,0.102667,0.099,0.0826667,0.0523333,0.035,0.0153333,0.0766667,0.237,0.223333,0.177,0.123667,0.0713333,0.0416667,0.0263333,0.0146667,0.00833333,0.00633333,0.0516667,0.128,0.191333,0.117,0.173333,0.190667,0.106,0.0293333,0.00633333,No,42,15.198127729129766,1.3708967033706845
Glass,-1.094320616,1.049572987,-0.730914892,-0.051252546,0.993937283,0.975667,0.017,0.00533333,0.000666667,0.000333333,0.000333333,0.000333333,0.0,0.0,0.000333333,0.232,0.285333,0.168,0.0966667,0.0433333,0.0436667,0.047,0.0293333,0.023,0.0316667,0.122333,0.169667,0.143,0.141,0.112667,0.100667,0.0886667,0.058,0.0406667,0.0233333,0.088,0.231333,0.223,0.149333,0.114667,0.0786667,0.0463333,0.0336667,0.0233333,0.0116667,0.004,0.0376667,0.105333,0.211,0.136333,0.0773333,0.202667,0.152,0.0603333,0.0133333,No,43,14.740660270043554,1.4594506902135387
Glass,-0.705144865,2.173276081,-0.680347697,0.966658014,0.269927606,0.994333,0.00333333,0.001,0.000666667,0.0,0.000333333,0.0,0.0,0.0,0.000333333,0.125333,0.243667,0.195333,0.204667,0.046,0.03,0.042,0.0353333,0.0313333,0.0463333,0.081,0.13,0.122333,0.118,0.0943333,0.0973333,0.107667,0.108667,0.088,0.0526667,0.0613333,0.156,0.172,0.157667,0.133,0.0936667,0.0743333,0.0676667,0.0466667,0.0376667,0.0103333,0.073,0.137,0.183,0.104333,0.0523333,0.178,0.154333,0.0863333,0.0213333,No,44,15.091767860563015,3.163142308819749
